id;en;de;ru
;;;
1_START_GAME;START GAME;SPIEL STARTEN;НАЧАТЬ ИГРУ
1_TOP_SCORES;TOP SCORES;BESTENLISTE;РЕКОРДЫ
1_OPTIONS;OPTIONS;OPTIONEN;НАСТРОЙКИ
1_INFORMATION;INFORMATION;INFORMATION;ИНФОРМАЦИЯ
1_CREDITS;CREDITS;DANKSAGUNGEN;АВТОРЫ
1_QUIT;QUIT;ENDE;ВЫХОД
1_YES;YES;JA;ДА
1_NO;NO;NEIN;НЕТ
1_ERROR;ERROR;FEHLER;ОШИБКА
1_CLOSE;CLOSE;SCHLIESSEN;ЗАКРЫТЬ
1_DELETE;DELETE;LÖSCHEN;УДАЛИТЬ
1_REPAIR;REPAIR;REPARIEREN;РЕМОНТ
1_OK;OK;OK;ОК
1_On;On;An;Вкл
1_Off;Off;Aus;Выкл
1_Decrease;Decrease;Verringern;Уменьшить
1_Increase;Increase;Erhöhen;Увеличить
1_Video_&_Audio;Video & Audio;Video & Audio;Видео и Аудио
1_Config_Controls;Config Controls;Tastenbelegung;Управление
1_Interface;Interface;Ausblick;Интерфейс
1_Advanced;Advanced;Erweitert;Специальные
1_MAIN_MENU;MAIN MENU;HAUPTMENÜ;ОСНОВНОЕ МЕНЮ
1_MISSIONS_LIST;MISSIONS LIST;MISSIONEN LISTE;СПИСОК МИССИЙ
1_DONATE;DONATE;SPENDEN;ПОДДЕРЖАТЬ
1_ORDER_NOW;ORDER NOW;JETZT BESTELLEN;КУПИТЬ СЕЙЧАС
1_Arcade;Arcade;Spielhalle;Аркада
1_Sim;Sim;Simulation;Симулятор
1_BACK;BACK;ZURÜCK;НАЗАД
1_Prev;Prev;Vorh;Пред
1_Next;Next;Näch;След
1_APPLY;APPLY;ANWENDEN;ПРИНЯТЬ
1_Create;Create;Anlegen;Создать
1_Difficulty;Difficulty;Schwierigkeit;Сложность
1_Delete;Delete;Löschen;Удалить
1_NEXT;NEXT;WEITER;ДАЛЕЕ
1_Shipyard;Shipyard;Schiffwerft;Верфь
1_Workshop;Workshop;Werkstatt;Мастерская
1_Weaponry;Weaponry;Bewaffnung;Оружейная
1_START;START;START;СТАРТ
1_Info;Info;Info;Инфо
1_Buy_Ship;Buy Ship;Schiff Kaufen;Купить
1_Repair_Hull;Repair Hull;Hülle Reparieren;Ремонт
1_Upgrade_Hull;Upgrade Hull;Hülle Aufwerten;Апгрейд
1_Reload;Reload;Laden;Перезарядить
1_Reload_All;Reload All;Laden Alle;Перезарядить Все
1_Close;Close;Schliessen;Закрыть
1_Buy;Buy;Kaufen;Купить
1_Sell;Sell;Verkaufen;Продать
1_RESTART;RESTART;NEUSTART;РЕСТАРТ
1_RESUME;RESUME;FORTFAHREN;ПРОДОЛЖИТЬ
1_GAME_MENU;GAME MENU;SPIEL MENÜ;МЕНЮ ИГРЫ
1_Unimplemented;Unimplemented;Nicht verwendet;Не установлено
1_Left;Left;Links;Влево
1_Right;Right;Rechts;Вправо
1_Mission_Complete;Mission Complete;Mission Beendet;Миссия Завершена
1_Page_Up;Page Up;Seite Rauf;Предыдущая
1_Page_Down;Page Down;Seite Runter;Следующая
1_Duplicate;Duplicate;Duplikat;Копия
1_Change_Profile;Change Profile;Ändern Profil;Изменить Профиль
;;;
;;;
2_quit_line1;Are you sure you want to quit?;Wollen Sie wirklich aufhören?;Вы уверены, что хотите завершить игру?
2_quit_line2;Note: all game data will be saved.;ACHTUNG: Spieldaten werden gesichert.;Текущие настройки будут сохранены.
2_quit_line3;Note: the current game data will be lost.;ACHTUNG: Spieldaten gehen verloren.;Игровое состояние будет потеряно.
;;;
2_ccprof_line1;Cannot create a Pilot Profile.;Pilot Profil kann nicht angelegt werden.;Невозможно создать Профиль Пилота.
